                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5457,                 5.1199,                0.42406,                0.98622,                 1.2755,                0.88793,                   0.75,                0.87445,                0.48763,                0.61529,                0.41667,                0.30069,                0.11568,                 1.6682,                 5.3546,                0.49449,                0.78949,                 1.3203,                      0,                      0,                      0
                      2,                  1.468,                 5.4422,                0.40346,                 1.0917,                  1.188,                0.90618,                0.80666,                0.88634,                0.49298,                0.61559,                0.41667,                0.30072,                0.12428,                 1.6803,                 5.3416,                0.49443,                0.80275,                 1.3275,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 1.4429,                 4.9657,                0.41827,                 1.0018,                 1.2329,                0.88701,                0.83333,                0.88656,                0.48848,                0.61612,                0.41667,                0.30087,                0.12432,                 1.6778,                 5.3399,                0.49462,                0.80559,                 1.3267,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                  1.446,                 5.2302,                0.42201,                 1.0166,                 1.2417,                0.86576,                0.83333,                0.89158,                0.48985,                0.61657,                0.41667,                0.30077,                 0.1243,                 1.6745,                 5.3378,                0.49478,                0.79851,                 1.3233,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 1.3698,                 5.0179,                0.42904,                 1.0223,                 1.1554,                0.91442,                  0.892,                0.91274,                0.50052,                0.61658,                0.41667,                0.30074,                 0.1243,                 1.6741,                 5.3212,                0.49468,                0.79388,                  1.323,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 1.4416,                 4.9906,                0.39416,                0.95166,                  1.196,                0.91142,                0.91667,                0.90925,                0.50016,                0.61611,                0.41667,                0.30079,                0.12429,                 1.6677,                 5.3221,                0.49529,                0.79072,                 1.3202,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 1.3064,                 4.6322,                0.39803,                0.88958,                 1.1853,                0.99437,                0.83333,                0.90919,                0.50565,                0.61312,                0.41667,                 0.3239,                0.14036,                 1.6338,                 5.2562,                0.47613,                0.76826,                 1.3075,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                  1.403,                  5.006,                0.37693,                0.89097,                 1.1457,                0.98475,                0.83333,                0.91009,                0.50102,                0.61268,                0.41667,                0.33086,                0.14949,                 1.6213,                 5.2416,                0.46587,                0.77107,                 1.3005,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 1.3528,                 4.5133,                0.37851,                0.80823,                  1.154,                0.98237,                0.83333,                0.91408,                0.50203,                0.61265,                0.41667,                0.33753,                0.15229,                 1.6029,                 5.2351,                0.45815,                0.76395,                 1.2897,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 1.3055,                 4.7527,                0.34756,                 0.8275,                 1.1453,                0.98158,                0.83333,                0.91017,                 0.5018,                0.61288,                0.41667,                0.33756,                 0.1523,                 1.5913,                 5.2276,                0.45345,                0.76726,                 1.2861,              1.962e-05,              1.962e-05,              1.962e-05
