                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5232,                 5.0426,                 4.1872,                 2.1063,                0.00778,                0.53846,                0.02461,                 0.0069,                0.00111,                0.07692,                0.00167,                0.00017,                 3.3762,                 6.2082,                 3.2133,                 2.5593,                      0,                      0,                      0
                      2,                 2.7738,                  5.434,                 4.3026,                 2.2762,                0.00778,                0.53846,                 0.0312,                0.00817,                0.00111,                0.07692,                0.00171,                0.00017,                 3.3533,                 6.2073,                 3.2247,                 2.5497,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 2.5175,                 4.8789,                 4.0892,                 1.9318,                0.00778,                0.53846,                0.03311,                0.00832,                0.00111,                0.07692,                0.00172,                0.00017,                 3.3576,                 6.2198,                 3.2255,                  2.565,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 2.3379,                 4.6115,                 4.3443,                 1.8674,                0.00778,                0.53846,                0.03356,                0.00835,                0.00111,                0.07692,                 0.0019,                0.00038,                  3.352,                 6.2409,                 3.2363,                 2.5515,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 2.6845,                 5.0856,                 4.2636,                 2.1164,                0.00778,                0.53846,                0.03512,                0.00912,                0.00111,                0.07692,                0.00172,                0.00017,                 3.3084,                 6.2583,                 3.2615,                 2.4657,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 2.7244,                 4.9078,                 4.3421,                 2.2081,                0.00778,                0.53846,                0.03064,                0.00827,                0.00111,                0.07692,                0.00174,                0.00017,                 3.2618,                 6.2662,                 3.2625,                 2.4086,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                  2.473,                 5.7928,                 4.2134,                 2.1917,                0.00778,                0.53846,                0.04281,                0.01057,                0.00111,                0.07692,                 0.0031,                0.00062,                 3.1441,                 6.0903,                  3.257,                 2.2425,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 2.0504,                 4.0677,                 3.9747,                 1.7365,                0.00778,                0.53846,                0.04135,                0.01123,                0.00111,                0.07692,                0.00301,                 0.0006,                 3.1068,                 5.9961,                 3.2412,                 2.3049,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 2.4653,                 3.9193,                 4.0826,                 1.9995,                0.00778,                0.53846,                0.04332,                0.01044,                0.00222,                0.15385,                0.00306,                0.00055,                 3.1468,                 5.8929,                 3.2412,                 2.3636,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 2.4203,                 4.2484,                  4.269,                  2.038,                0.00778,                0.53846,                0.04314,                0.01107,                0.00222,                0.15385,                0.00288,                0.00051,                 3.0626,                 5.8364,                 3.2248,                 2.2632,              1.962e-05,              1.962e-05,              1.962e-05
